Ticker,Description,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ),Basic EPS (FY),Basic EPS (TTM),Dividends Paid (FY),Dividends per Share (FY),Dividends per Share (MRQ),Dividends Yield (FY),Country,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),EPS Diluted (FY),EPS Forecast (FQ),EPS Diluted (TTM),EPS Diluted (MRQ),Exchange,Goodwill,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Industry,Last Year Revenue (FY),Market Capitalization,Net Income (FY),Net Margin (TTM),Number of Shareholders,Number of Employees,Operating Margin (TTM),Pretax Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Rating,Recent Earnings Date,Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Sector,Shares Float,Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding (MRQ),Upcoming Earnings Date,1-Year Beta,Yearly Performance,YTD Performance
HINDUNILVR,HINDUSTAN UNILEVER,1.28046474,0.0211557,-61690000000,0.95811943,687570000000,10090000000,142170000000,34.0279,34.0264,-88110000000,31,17,1.2679974,India,116260000000,48.3517,5649840000000,34.0272,9.001429,34.0264,9.12,NSE,173970000000,45.6068725,207080000000,57180000000,Household/Personal Care,469200000000,5744274977226,79950000000,17.00263673,769663,20882,22.43769669,22.5525219,12.04576123,11.98,71.83099005,,12.21122775,12.23946347,Neutral,2021-04-28,17.98672815,28.60669374,27.93850454,22469112.15400824,Consumer Non-Durables,890200911.25,210630000000,210630000000,469200000000,2349590000,2021-07-27,0.34421957,7.56870103,1.72414218
HINDUNILVR,HINDUSTAN UNILEVER LTD.,1.28046474,0.0211557,-61690000000,0.95811943,687570000000,10090000000,142170000000,34.0279,34.0264,-88110000000,31,17,1.2679974,India,116260000000,48.3517,5649840000000,34.0272,9.001429,34.0264,9.12,BSE,173970000000,45.6068725,207080000000,57180000000,Household/Personal Care,469200000000,5744274977226,79950000000,17.00263673,769663,20882,22.43769669,22.5525219,12.04896469,11.98,71.85009287,,12.21447521,12.24271845,Neutral,2021-04-28,17.98672815,28.60669374,27.93850454,22469112.15400824,Consumer Non-Durables,890200911.25,210630000000,210630000000,469200000000,2349590000,2021-07-27,0.34421957,7.53741776,1.79097198
ICICIBANK,ICICI BANK,,0.86076995,-36705900000.00011,,15738122400000,1438999400000,1475705300000,27.26,27.1534,0,,,0.30945382,India,,,,26.83,6.972,26.74,6.4,NSE,0,,,,Regional Banks,1613364800000,4476004844561,183843200000,11.39501742,1183642,,16.13294774,16.13294774,,,24.16791324,,,,Strong Buy,2021-04-24,1.24470459,13.1060275,4.02889772,,Finance,6799063504.56,14066364000000,14066364000000,1613364800000,6925580000,2021-07-24,1.615996,88.05146527,24.27810717
ICICIBANK,ICICI BANK LTD.,,0.86076995,-36705900000.00011,,15738122400000,1438999400000,1475705300000,27.26,27.1534,0,,,0.30945382,India,,,,26.83,6.972,26.74,6.4,BSE,0,,,,Regional Banks,1613364800000,4476004844561,183843200000,11.39501742,1183642,,16.13294774,16.13294774,,,24.16978272,,,,Strong Buy,2021-04-24,1.24470459,13.1060275,4.02889772,,Finance,6799063504.56,14066364000000,14066364000000,1613364800000,6925580000,2021-07-24,1.615996,87.9790691,24.27075401
HDFC,HOUSING DEVEL FIN,,1.79723492,2946180300000,,8293549000000,2976535000000,,105.5897,105.37,-36426800000,23,23,0.92811173,India,207041400000,18.9847,7576480000000,104.7048,15.516667,104.95,17.5,NSE,16067700000,16.57570993,1044519800000,62817200000,Finance/Rental/Leasing,1156978000000,4474918278632,187400600000,13.47493813,584323,5490,12.4524352,12.4508533,2.85126038,2.87658,23.60123869,27.0888,3.23661202,3.83174538,Strong Buy,2021-05-06,2.40385103,13.23488933,5.4744954,210742805.10018215,Finance,1801788184.5,6637374300000,6637374300000,1156978000000,1805750000,2021-08-04,1.5140156,37.89385278,-0.53738888
HDFC,HOUSING DEVELOPMENT FINANCE CO,,1.79723492,2946180300000,,8293549000000,2976535000000,,105.5897,105.37,-36426800000,23,23,0.92811173,India,207041400000,18.9847,7576480000000,104.7048,15.516667,104.95,17.5,BSE,16067700000,16.57570993,1044519800000,62817200000,Finance/Rental/Leasing,1156978000000,4474918278632,187400600000,13.47493813,584323,5490,12.4524352,12.4508533,2.85264161,2.87658,23.61267175,27.0888,3.23817992,3.83360158,Strong Buy,2021-05-06,2.40385103,13.23488933,5.4744954,210742805.10018215,Finance,1801788184.5,6637374300000,6637374300000,1156978000000,1805750000,2021-08-04,1.5140156,37.78499865,-0.56281167
SBIN,STATE BANK OF INDIA,0.34834371,1.55952914,1659043517000,,48456185465000,4447581809000,5910067261000,25.1053,25.1052,0,4,4,0.9356725,India,,,5006980000000,25.1053,7.206667,25.1052,7.2,BSE,15499941000,,,,Regional Banks,3840041117000,3815271760254,224054576000,5.83519906,2787479,245652,8.18518094,8.54126808,1.38454413,1.18002,17.02834473,,0.99363629,0.99354963,Buy,2021-05-21,0.49552527,8.5091255,3.40740628,15632036.85294645,Finance,3844838007.93,45604310699000,45604310699000,3840041117000,8924610000,2021-08-06,2.2150126,122.81929788,56.19653867
SBIN,STATE BK OF INDIA,0.34834371,1.55952914,1659043517000,,48456185465000,4447581809000,5910067261000,25.1053,25.1052,0,4,4,0.9356725,India,,,5006980000000,25.1053,7.206667,25.1052,7.2,NSE,15499941000,,,,Regional Banks,3840041117000,3815271760254,224054576000,5.83519906,2787479,245652,8.18518094,8.54126808,1.38438219,1.18002,17.02635311,,0.99352008,0.99343343,Buy,2021-05-21,0.49552527,8.5091255,3.40740628,15632036.85294645,Finance,3844838007.93,45604310699000,45604310699000,3840041117000,8924610000,2021-08-06,2.2150126,122.67773742,56.06473337
BAJFINANCE,BAJAJ FINANCE LIMITED,,2.87622788,884218500000,,1716099700000,1061857600000.0002,,73.5814,73.5811,-27400000,10,10,0.16264527,India,122861100000,19.8664,4003300000000,72.9951,21.62,73.08,22.09,BSE,32700000.00000001,58.83396212,233270500000,41335700000,Finance/Rental/Leasing,266782800000,3711109444412,44198200000,16.56204424,489598,28546,38.50311244,22.45432512,10.01840557,8.38986,84.13177477,36.2204,13.95661166,13.95442486,Buy,2021-04-27,2.63036778,12.76555309,3.94488539,9345715.6869614,Finance,260205751.836,1346915600000,1346915600000,266782800000,603594000,2021-07-27,1.6258645,90.31779788,16.19052492
BAJFINANCE,BAJAJ FINANCE LTD,,2.87622788,884218500000,,1716099700000,1061857600000.0002,,73.5814,73.5811,-27400000,10,10,0.16264527,India,122861100000,19.8664,4003300000000,72.9951,21.62,73.08,22.09,NSE,32700000.00000001,58.83396212,233270500000,41335700000,Finance/Rental/Leasing,266782800000,3711109444412,44198200000,16.56204424,489598,28546,38.50311244,22.45432512,10.02036074,8.38986,84.14819376,36.2204,13.95933541,13.95714818,Buy,2021-04-27,2.63036778,12.76555309,3.94488539,9345715.6869614,Finance,260205751.836,1346915600000,1346915600000,266782800000,603594000,2021-07-27,1.6258645,90.26463271,16.22412312
KOTAKBANK,KOTAK MAHINDRA BAN,,0.56271685,222799999.999988,,4788726900000,477389000000,477166200000,50.53,50.47,-405000000,,,0.05194056,India,,,,50.49,9.26,50.45,8.395,NSE,8137500000,,,,Financial Conglomerates,567037300000,3434982702087,99902000000,17.53281238,174214,,23.8022556,23.1104517,,,34.33002973,,,,Neutral,2021-05-03,2.16696488,13.14729777,7.49119641,,Finance,1385763958.43,3940340800000,3940340800000,567037300000,1982390000,2021-07-22,1.1933855,30.81876381,-12.44988976
KOTAKBANK,KOTAK MAHINDRA BANK LTD.,,0.56271685,222799999.999988,,4788726900000,477389000000,477166200000,50.53,50.47,-405000000,,,0.05194056,India,,,,50.49,9.26,50.45,8.395,BSE,8137500000,,,,Financial Conglomerates,567037300000,3434982702087,99902000000,17.53281238,174214,,23.8022556,23.1104517,,,34.34588702,,,,Neutral,2021-05-03,2.16696488,13.14729777,7.49119641,,Finance,1385763958.43,3940340800000,3940340800000,567037300000,1982390000,2021-07-22,1.1933855,30.89799281,-12.4110454
BHARTIARTL,BHARTI AIRTEL LTD,0.49045961,2.00408733,1452410000000,,3460278000000,1627852000000,547529000000,-27.65,-27.6614,-26906000000,,,0.37760782,India,453465000000,9.95373,4516170000000,-27.65,0.910211,-27.6614,1.39,NSE,0,26.04893871,256544000000,72625000000,Wireless Telecommunications,1006158000000,2907676997090,-150835000000,-24.40817031,230527,,15.38757197,-13.15752318,4.93421374,4.81916,,,2.8521291,2.89104916,Sell,2021-05-16,-7.04396166,-36.58200922,-12.85781949,,Communications,2423328826.4860396,2648012000000,2648012000000,1006158000000,5489810967,2021-07-28,0.62112004,-9.67109594,3.99254259
BHARTIARTL,BHARTI AIRTEL LTD.,0.49045961,2.00408733,1452410000000,,3460278000000,1627852000000,547529000000,-27.65,-27.6614,-26906000000,,,0.37760782,India,453465000000,9.95373,4516170000000,-27.65,0.910211,-27.6614,1.39,BSE,0,26.04893871,256544000000,72625000000,Wireless Telecommunications,1006158000000,2907676997090,-150835000000,-24.40817031,230527,,15.38757197,-13.15752318,4.93421393,4.81916,,,2.85212921,2.89104927,Sell,2021-05-16,-7.04396166,-36.58200922,-12.85781949,,Communications,2423328826.4860396,2648012000000,2648012000000,1006158000000,5489810967,2021-07-28,0.62112004,-9.61227439,4.13312201
ASIANPAINT,ASIAN PAINTS LTD,2.02951133,0.08262965,-37106800000,1.38849045,203696200000,10931200000,120266000000,32.7283,32.7283,-4993500000,17.85,14.5,0.59520835,India,48556000000,50.6727,2400370000000,32.7283,5.894444,32.7283,8.9,NSE,3026300000,33.54492905,67511500000,22466300000,Industrial Specialties,215303500000,2876586057241,31392900000,14.45825249,522165,23514,18.71859858,19.69231038,22.46566223,19.0004,91.64545668,84.2787,13.25033702,13.36261534,Neutral,2021-05-11,17.19010229,27.37380894,26.02961497,9156396.18950413,Process Industries,404841026.276,71370600000,71370600000,215303500000,959198000,2021-07-20,0.40747023,75.5254595,8.2962561
ASIANPAINT,ASIAN PAINTS LTD.,2.02951133,0.08262965,-37106800000,1.38849045,203696200000,10931200000,120266000000,32.7283,32.7283,-4993500000,17.85,14.5,0.59520835,India,48556000000,50.6727,2400370000000,32.7283,5.894444,32.7283,8.9,BSE,3026300000,33.54492905,67511500000,22466300000,Industrial Specialties,215303500000,2876586057241,31392900000,14.45825249,522165,23514,18.71859858,19.69231038,22.46229171,19.0004,91.63170712,84.2787,13.24834907,13.36061054,Neutral,2021-05-11,17.19010229,27.37380894,26.02961497,9156396.18950413,Process Industries,404841026.276,71370600000,71370600000,215303500000,959198000,2021-07-20,0.40747023,75.44549238,8.27108828
WIPRO,WIPRO LTD,2.27079638,0.18845171,-240986000000,2.25226482,831434000000,104514000000,522374000000,19.108,19.1297,-5459000000,,,0.19015022,India,148786000000,14.1517,2048810000000,19.0662,5.170313,19.0586,5.38,NSE,139127000000,31.67831716,196225000000,52649000000,Information Technology Services,619430000000,2871329136764,107946000000,17.42666645,522280,200000,19.91572898,22.42012818,5.19079542,4.08867,27.59121866,16.8944,4.68999133,4.80632641,Neutral,2021-04-15,13.09630111,19.44004473,18.78952343,3097150,Technology Services,1461829710.9751,276841000000,276841000000,619430000000,5689005207,2021-07-15,0.68882334,130.60192308,35.88349515
WIPRO,WIPRO LTD.,2.27079638,0.18845171,-240986000000,2.25226482,831434000000,104514000000,522374000000,19.108,19.1297,-5459000000,,,0.19015022,India,148786000000,14.1517,2048810000000,19.0662,5.170313,19.0586,5.38,BSE,139127000000,31.67831716,196225000000,52649000000,Information Technology Services,619430000000,2871329136764,107946000000,17.42666645,522280,200000,19.91572898,22.42012818,5.19128918,4.08867,27.5938432,16.8944,4.69043745,4.80678359,Neutral,2021-04-15,13.09630111,19.44004473,18.78952343,3097150,Technology Services,1461829710.9751,276841000000,276841000000,619430000000,5689005207,2021-07-15,0.68882334,130.67458581,35.89644531
HCLTECH,HCL TECHNOLOGIES,2.47661508,0.10688725,-92390000000,2.4712075,861940000000,64220000000,430510000000,41.0699,41.07,-32560000000,16,6,0,India,198673837590,12.8594,2578050000000,41.07,11.971324,41.0691,10.9,NSE,171920000000,28.29668988,200620000000,44660000000,Information Technology Services,753790000000,2656813723368,111450000000,14.779668,222819,,20.44014319,21.03967076,,,23.84883039,17.9063,3.52471759,3.52604741,Sell,2021-04-22,13.18151292,20.04851443,18.27973097,,Technology Services,1076971499.23,261120000000,261120000000,753790000000,2713670000,2021-07-19,0.5504691,60.62894659,2.30407224
HCLTECH,HCL TECHNOLOGIES LTD.,2.47661508,0.10688725,-92390000000,2.4712075,861940000000,64220000000,430510000000,41.0699,41.07,-32560000000,16,6,0,India,198673837590,12.8594,2578050000000,41.07,11.971324,41.0691,10.9,BSE,171920000000,28.29668988,200620000000,44660000000,Information Technology Services,753790000000,2656813723368,111450000000,14.779668,222819,,20.44014319,21.03967076,,,23.83909046,17.9063,3.52327809,3.52460736,Sell,2021-04-22,13.18151292,20.04851443,18.27973097,,Technology Services,1076971499.23,261120000000,261120000000,753790000000,2713670000,2021-07-19,0.5504691,60.8363827,2.45784658
ITC,ITC LTD,3.27343662,0.00445644,-192348700000,2.29050542,738193000000,2704800000,349919900000,10.7,10.6987,-188674100000,10.75,5.75,5.3442707,India,170027000000,,,10.7,2.801429,10.6987,3,NSE,7797300000,46.74471382,230324200000,66514300000,Tobacco,492727800000,2475923845185,131611900000,26.71087363,1302214,,31.16753307,36.41988538,,,18.79667623,,,,Sell,2021-06-01,17.41055442,20.95391058,20.8836823,,Consumer Non-Durables,7689405830.4,131251500000,131251500000,492727800000,12308800000,2021-07-29,0.92072093,2.17666414,-3.42105263
ITC,ITC LTD.,3.27343662,0.00445644,-192348700000,2.29050542,738193000000,2704800000,349919900000,10.7,10.6987,-188674100000,10.75,5.75,5.3442707,India,170027000000,,,10.7,2.801429,10.6987,3,BSE,7797300000,46.74471382,230324200000,66514300000,Tobacco,492727800000,2475923845185,131611900000,26.71087363,1302214,,31.16753307,36.41988538,,,18.80134876,,,,Sell,2021-06-01,17.41055442,20.95391058,20.8836823,,Consumer Non-Durables,7689405830.4,131251500000,131251500000,492727800000,12308800000,2021-07-29,0.92072093,2.22841732,-3.42104785
AXISBANK,AXIS BANK,0.22158059,1.73998453,1250512142000,,10103682771000,1805537531000,715916823000,24.189,24.0218,0,0,0,0,India,,,3393830000000,24.1249,9.136667,23.99,8.7,NSE,2892400000,,,,Regional Banks,808567085000,2310139721076,71954962000,8.90004124,577426,78307,12.05977543,12.05977543,2.22874652,2.06283,31.41308879,7.07839,2.86194963,2.77984029,Strong Buy,2021-04-27,0.74245472,7.57683732,2.56986787,10325604.16054759,Finance,2937543264.37,9066008296000,9066008296000,808567085000,3065270000,2021-07-29,1.3103158,75.15055505,24.22435129
AXISBANK,AXIS BANK LTD.,0.22158059,1.73998453,1250512142000,,10103682771000,1805537531000,715916823000,24.189,24.0218,0,0,0,0,India,,,3393830000000,24.1249,9.136667,23.99,8.7,BSE,2892400000,,,,Regional Banks,808567085000,2310139721076,71954962000,8.90004124,577426,78307,12.05977543,12.05977543,2.22667636,2.06283,31.3839108,7.07839,2.85929132,2.77725824,Strong Buy,2021-04-27,0.74245472,7.57683732,2.56986787,10325604.16054759,Finance,2937543264.37,9066008296000,9066008296000,808567085000,3065270000,2021-07-29,1.3103158,75.04257352,24.25244053
MARUTI,MARUTI SUZUKI INDIA LTD.,1.15035514,0.01025131,-109246000000,0.96121708,712827000000,5382000000,185443000000,145.3,145.3471,-18125000000,45,45,0.6023169,India,52937000000,,,145.3,33.357778,145.3471,38.6,BSE,,18.69351447,131550000000,46524000000,Motor Vehicles,703720000000,2256885318182,43891000000,6.2389871,421180,,3.21093617,7.32109362,,,51.40212567,,,,Buy,2021-04-27,6.49475043,8.61612189,8.60706836,,Consumer Durables,130671953.91999999,187821000000,187821000000,703720000000,302080000,2021-07-29,0.8244257,23.92931381,-2.91960915
MARUTI,MARUTI SUZUKI IND,1.15035514,0.01025131,-109246000000,0.96121708,712827000000,5382000000,185443000000,145.3,145.3471,-18125000000,45,45,0.6023169,India,52937000000,,,145.3,33.357778,145.3471,38.6,NSE,,18.69351447,131550000000,46524000000,Motor Vehicles,703720000000,2256885318182,43891000000,6.2389871,421180,,3.21093617,7.32109362,,,51.39490227,,,,Buy,2021-04-27,6.49475043,8.61612189,8.60706836,,Consumer Durables,130671953.91999999,187821000000,187821000000,703720000000,302080000,2021-07-29,0.8244257,24.06972751,-2.86616421
DMART,AVENUE SUPERMARTS,,,,,,,,20.7133,14.8341,0,0,0,0,India,15477200000,64.9955,,20.5547,6.395,14.71,,NSE,,10.45128812,21035800000,4253800000,Specialty Stores,248702000000,2168134609944,13010800000,4.16273152,267615,48408,4.93293909,5.53844708,19.58015146,,227.67165194,,9.50651378,8.52384915,Buy,2021-07-10,,,,5137621.88068088,Retail Trade,148901448.15,10045000000,,248702000000,647775000,2021-12-01,0.9333018,50.18241232,21.39961929
DMART,AVENUE SUPERMARTS LIMITED,,,,,,,,20.7133,14.8341,0,0,0,0,India,15477200000,64.9955,,20.5547,6.395,14.71,,BSE,,10.45128812,21035800000,4253800000,Specialty Stores,248702000000,2168134609944,13010800000,4.16273152,267615,48408,4.93293909,5.53844708,19.5684585,,227.53569001,,9.50083664,8.51875884,Buy,2021-07-10,,,,5137621.88068088,Retail Trade,148901448.15,10045000000,,248702000000,647775000,2021-12-01,0.9333018,50.32140026,21.34038007
LT,LARSEN & TOUBRO LTD.,1.41887748,1.53126693,873763500000,1.37651695,3112737100000,1346290800000,1949605900000,82.49,109.0743,-36508900000,18,18,1.1992804,India,156241000000,,,82.41,11.00127,109.0283,24.3,BSE,80669600000,15.89354623,216118900000,79152100000,Engineering & Construction,1359790300000,2108171466262.0005,151389500000,5.20470693,1251569,,9.35430265,9.16356,,,13.76615062,,,,Strong Buy,2021-05-14,2.28282892,9.92667528,4.56008658,,Industrial Services,1209464540.4,2233536500000,2233536500000,1359790300000,1404600000,2021-07-26,0.93248165,62.97114286,17.53718302
LT,LARSEN & TOUBRO,1.41887748,1.53126693,873763500000,1.37651695,3112737100000,1346290800000,1949605900000,82.49,109.0743,-36508900000,18,18,1.1992804,India,156241000000,,,82.41,11.00127,109.0283,24.3,NSE,80669600000,15.89354623,216118900000,79152100000,Engineering & Construction,1359790300000,2108171466262.0005,151389500000,5.20470693,1251569,,9.35430265,9.16356,,,13.76477483,,,,Strong Buy,2021-05-14,2.28282892,9.92667528,4.56008658,,Industrial Services,1209464540.4,2233536500000,2233536500000,1359790300000,1404600000,2021-07-26,0.93248165,63.07708532,17.55203479
BAJAJFINSV,BAJAJ FINSERV LTD.,0.40820298,1.76102953,996598300000,,2802489000000,1026574200000,133480700000.00002,280.9183,280.9184,-825000000,3,3,0.02324104,India,,,2789720000000,280.8628,,280.8588,,BSE,6893400000,,,,Life/Health Insurance,550357900000,2054177881335,44704600000,7.50053522,202798,105,39.85089061,16.54733039,5.73312295,4.29391,45.95974917,34.9843,3.44649859,3.73317545,Buy,2021-04-28,1.68178395,13.31856624,3.8569941,5241503809.523809,Finance,58713914.424,2219549200000,2219549200000,550357900000,159137000,2021-07-28,1.1862943,99.84830895,45.09166469
BAJAJFINSV,BAJAJ FINSERV LTD,0.40820298,1.76102953,996598300000,,2802489000000,1026574200000,133480700000.00002,280.9183,280.9184,-825000000,3,3,0.02324104,India,,,2789720000000,280.8628,,280.8588,,NSE,6893400000,,,,Life/Health Insurance,550357900000,2054177881335,44704600000,7.50053522,202798,105,39.85089061,16.54733039,5.73343386,4.29391,45.96224152,34.9843,3.44668549,3.7333779,Buy,2021-04-28,1.68178395,13.31856624,3.8569941,5241503809.523809,Finance,58713914.424,2219549200000,2219549200000,550357900000,159137000,2021-07-28,1.1862943,99.79106238,44.94602817
